Timestamp (UTC),Osney-Lock-rainfall-15min-Qualified,Iffley-Lock-height-data-downstream,New-Botley-height-data,Minns-Estate-height-data,Osney-Lock-height-data-downstream,Godstow-Lock-height-data-downstream,Kings-Lock-height-data-downstream,Eynsham-Lock-height-data-downstream,Pinkhill-Lock-height-data-downstream,Farmoor-height-data,Northmoor-Lock-height-data-downstream,Shifford-Lock-height-data-downstream,Rushey-Lock-height-data-downstream,Radcot-Lock-height-data-downstream,Grafton-Lock-height-data-downstream,Buscot-Lock-height-data-downstream,St-Johns-Lock-height-data-downstream,Hannington-Bridge-height-data
2026-07-02T04:00:00Z,0.0,2.33,0.88,1.08,2.22,1.66,1.77,1.77,1.72,0.84,1.69,1.83,1.73,1.71,1.61,1.64,1.47,2.13
2026-07-02T04:15:00Z,0.0,2.33,0.88,1.08,2.22,1.66,1.77,1.77,1.72,0.84,1.69,1.83,1.73,1.71,1.61,1.64,1.47,2.13
2026-07-02T04:30:00Z,0.0,2.33,0.88,1.08,2.23,1.66,1.77,1.77,1.72,0.84,1.68,1.83,1.73,1.71,1.61,1.64,1.47,2.13
2026-07-02T04:45:00Z,0.0,2.33,0.88,1.08,2.22,1.66,1.77,1.77,1.72,0.84,1.67,1.83,1.73,1.71,1.61,1.64,1.47,2.13
2026-07-02T05:00:00Z,0.0,2.33,0.89,1.08,2.21,1.66,1.77,1.77,1.72,0.84,1.69,1.83,1.73,1.71,1.61,1.64,1.47,2.13
2026-07-02T05:15:00Z,0.0,2.33,0.88,1.08,2.22,1.66,1.77,1.77,1.72,0.84,1.68,1.83,1.73,1.71,1.61,1.64,1.47,2.13
2026-07-02T05:30:00Z,0.0,2.33,0.88,1.08,2.22,1.66,1.77,1.77,1.72,0.84,1.7,1.83,1.73,1.71,1.61,1.64,1.47,2.13
2026-07-02T05:45:00Z,0.0,2.33,0.88,1.08,2.22,1.65,1.77,1.77,1.72,0.84,1.67,1.83,1.73,1.71,1.61,1.64,1.47,2.12
2026-07-02T06:00:00Z,0.0,2.33,0.88,1.08,2.22,1.65,1.76,1.77,1.72,0.84,1.69,1.83,1.73,1.71,1.61,1.64,1.47,2.12
2026-07-02T06:15:00Z,0.0,2.33,0.88,1.08,2.22,1.65,1.76,1.77,1.72,0.84,1.67,1.83,1.73,1.71,1.61,1.64,1.47,2.12
2026-07-02T06:30:00Z,0.0,2.33,0.88,1.08,2.22,1.65,1.76,1.77,1.72,0.84,1.68,1.83,1.73,1.71,1.61,1.64,1.47,2.12
2026-07-02T06:45:00Z,0.0,2.33,0.88,1.08,2.22,1.65,1.76,1.77,1.72,0.84,1.68,1.83,1.73,1.71,1.61,1.64,1.47,2.12
