Timestamp (UTC),Height (m)
2024-11-25T04:45:00Z,1.97
2024-11-25T05:00:00Z,1.97
2024-11-25T05:15:00Z,1.97
2024-11-25T05:30:00Z,1.97
2024-11-25T05:45:00Z,1.98
2024-11-25T06:00:00Z,1.98
2024-11-25T06:15:00Z,1.98
2024-11-25T06:30:00Z,1.99
2024-11-25T06:45:00Z,1.99
2024-11-25T07:00:00Z,1.99
2024-11-25T07:15:00Z,1.99
2024-11-25T07:30:00Z,2.0
2024-11-25T07:45:00Z,2.0
2024-11-25T08:00:00Z,2.0
2024-11-25T08:15:00Z,2.0
2024-11-25T08:30:00Z,2.01
2024-11-25T08:45:00Z,2.01
2024-11-25T09:00:00Z,2.01
2024-11-25T09:15:00Z,2.02
2024-11-25T09:30:00Z,2.02
2024-11-25T09:45:00Z,2.02
2024-11-25T10:00:00Z,2.02
2024-11-25T10:15:00Z,2.03
2024-11-25T10:30:00Z,2.03
2024-11-25T10:45:00Z,2.03
2024-11-25T11:00:00Z,2.03
2024-11-25T11:15:00Z,2.04
2024-11-25T11:30:00Z,2.04
2024-11-25T11:45:00Z,2.04
2024-11-25T12:00:00Z,2.04
2024-11-25T12:15:00Z,2.05
2024-11-25T12:30:00Z,2.05
2024-11-25T12:45:00Z,2.05
2024-11-25T13:00:00Z,2.06
2024-11-25T13:15:00Z,2.06
2024-11-25T13:30:00Z,2.06
2024-11-25T13:45:00Z,2.06
2024-11-25T14:00:00Z,2.07
2024-11-25T14:15:00Z,2.07
2024-11-25T14:30:00Z,2.07
2024-11-25T14:45:00Z,2.08
2024-11-25T15:00:00Z,2.08
2024-11-25T15:15:00Z,2.08
2024-11-25T15:30:00Z,2.08
2024-11-25T15:45:00Z,2.09
2024-11-25T16:00:00Z,2.09
2024-11-25T16:15:00Z,2.1
2024-11-25T16:30:00Z,2.1
2024-11-25T16:45:00Z,2.1
2024-11-25T17:00:00Z,2.11
2024-11-25T17:15:00Z,2.11
2024-11-25T17:30:00Z,2.12
2024-11-25T17:45:00Z,2.12
2024-11-25T18:00:00Z,2.12
2024-11-25T18:15:00Z,2.13
