Timestamp (UTC),Height (m)
2024-11-23T11:15:00Z,2.29
2024-11-23T11:30:00Z,2.28
2024-11-23T11:45:00Z,2.29
2024-11-23T12:00:00Z,2.28
2024-11-23T12:15:00Z,2.29
2024-11-23T12:30:00Z,2.29
2024-11-23T12:45:00Z,2.29
2024-11-23T13:00:00Z,2.3
2024-11-23T13:15:00Z,2.29
2024-11-23T13:30:00Z,2.29
2024-11-23T13:45:00Z,2.29
2024-11-23T14:00:00Z,2.29
2024-11-23T14:15:00Z,2.28
2024-11-23T14:30:00Z,2.28
2024-11-23T14:45:00Z,2.29
2024-11-23T15:00:00Z,2.29
2024-11-23T15:15:00Z,2.29
2024-11-23T15:30:00Z,2.29
2024-11-23T15:45:00Z,2.29
2024-11-23T16:00:00Z,2.29
2024-11-23T16:15:00Z,2.29
2024-11-23T16:30:00Z,2.29
2024-11-23T16:45:00Z,2.3
2024-11-23T17:00:00Z,2.3
2024-11-23T17:15:00Z,2.3
2024-11-23T17:30:00Z,2.29
2024-11-23T17:45:00Z,2.29
2024-11-23T18:00:00Z,2.29
2024-11-23T18:15:00Z,2.3
2024-11-23T18:30:00Z,2.29
2024-11-23T18:45:00Z,2.3
2024-11-23T19:00:00Z,2.29
2024-11-23T19:15:00Z,2.3
2024-11-23T19:30:00Z,2.3
2024-11-23T19:45:00Z,2.29
2024-11-23T20:00:00Z,2.29
2024-11-23T20:15:00Z,2.29
2024-11-23T20:30:00Z,2.3
2024-11-23T20:45:00Z,2.3
2024-11-23T21:00:00Z,2.3
2024-11-23T21:15:00Z,2.3
2024-11-23T21:30:00Z,2.3
2024-11-23T21:45:00Z,2.3
2024-11-23T22:00:00Z,2.3
2024-11-23T22:15:00Z,2.3
2024-11-23T22:30:00Z,2.3
2024-11-23T22:45:00Z,2.3
2024-11-23T23:00:00Z,2.29
2024-11-23T23:15:00Z,2.3
2024-11-23T23:30:00Z,2.31
2024-11-23T23:45:00Z,2.31
2024-11-24T00:00:00Z,2.29
2024-11-24T00:15:00Z,2.3
2024-11-24T00:30:00Z,2.31
2024-11-24T00:45:00Z,2.31
2024-11-24T01:00:00Z,2.31
2024-11-24T01:15:00Z,2.31
2024-11-24T01:30:00Z,2.32
2024-11-24T01:45:00Z,2.31
2024-11-24T02:00:00Z,2.33
2024-11-24T02:15:00Z,2.32
2024-11-24T02:30:00Z,2.33
2024-11-24T02:45:00Z,2.33
2024-11-24T03:00:00Z,2.31
2024-11-24T03:15:00Z,2.31
2024-11-24T03:30:00Z,2.32
2024-11-24T03:45:00Z,2.32
2024-11-24T04:00:00Z,2.33
2024-11-24T04:15:00Z,2.33
2024-11-24T04:30:00Z,2.32
2024-11-24T04:45:00Z,2.33
2024-11-24T05:00:00Z,2.33
2024-11-24T05:15:00Z,2.34
2024-11-24T05:30:00Z,2.32
2024-11-24T05:45:00Z,2.33
2024-11-24T06:00:00Z,2.33
2024-11-24T06:15:00Z,2.32
2024-11-24T06:30:00Z,2.34
2024-11-24T06:45:00Z,2.34
2024-11-24T07:00:00Z,2.33
