Timestamp (UTC),Height (m)
2024-11-26T15:30:00Z,1.32
2024-11-26T15:45:00Z,1.32
2024-11-26T16:00:00Z,1.32
2024-11-26T16:15:00Z,1.32
2024-11-26T16:30:00Z,1.32
2024-11-26T16:45:00Z,1.33
2024-11-26T17:00:00Z,1.33
2024-11-26T17:15:00Z,1.33
2024-11-26T17:30:00Z,1.33
2024-11-26T17:45:00Z,1.33
2024-11-26T18:00:00Z,1.34
2024-11-26T18:15:00Z,1.34
2024-11-26T18:30:00Z,1.34
2024-11-26T18:45:00Z,1.35
2024-11-26T19:00:00Z,1.35
2024-11-26T19:15:00Z,1.35
2024-11-26T19:30:00Z,1.35
2024-11-26T19:45:00Z,1.35
2024-11-26T20:00:00Z,1.36
2024-11-26T20:15:00Z,1.36
2024-11-26T20:30:00Z,1.36
2024-11-26T20:45:00Z,1.37
2024-11-26T21:00:00Z,1.37
2024-11-26T21:15:00Z,1.37
2024-11-26T21:30:00Z,1.38
2024-11-26T21:45:00Z,1.38
2024-11-26T22:00:00Z,1.38
2024-11-26T22:15:00Z,1.39
2024-11-26T22:30:00Z,1.39
2024-11-26T22:45:00Z,1.39
2024-11-26T23:00:00Z,1.39
2024-11-26T23:15:00Z,1.4
2024-11-26T23:30:00Z,1.4
2024-11-26T23:45:00Z,1.4
2024-11-27T00:00:00Z,1.41
2024-11-27T00:15:00Z,1.41
2024-11-27T00:30:00Z,1.41
2024-11-27T00:45:00Z,1.41
2024-11-27T01:00:00Z,1.42
2024-11-27T01:15:00Z,1.42
2024-11-27T01:30:00Z,1.42
2024-11-27T01:45:00Z,1.43
2024-11-27T02:00:00Z,1.43
2024-11-27T02:15:00Z,1.43
2024-11-27T02:30:00Z,1.44
2024-11-27T02:45:00Z,1.44
2024-11-27T03:00:00Z,1.44
2024-11-27T03:15:00Z,1.45
2024-11-27T03:30:00Z,1.45
2024-11-27T03:45:00Z,1.45
2024-11-27T04:00:00Z,1.45
2024-11-27T04:15:00Z,1.45
2024-11-27T04:30:00Z,1.46
2024-11-27T04:45:00Z,1.46
2024-11-27T05:00:00Z,1.47
2024-11-27T05:15:00Z,1.47
2024-11-27T05:30:00Z,1.47
2024-11-27T05:45:00Z,1.47
2024-11-27T06:00:00Z,1.47
2024-11-27T06:15:00Z,1.47
2024-11-27T06:30:00Z,1.48
2024-11-27T06:45:00Z,1.48
2024-11-27T07:00:00Z,1.48
2024-11-27T07:15:00Z,1.48
2024-11-27T07:30:00Z,1.48
2024-11-27T07:45:00Z,1.49
2024-11-27T08:00:00Z,1.48
2024-11-27T08:15:00Z,1.49
2024-11-27T08:30:00Z,1.49
2024-11-27T08:45:00Z,1.5
2024-11-27T09:00:00Z,1.51
2024-11-27T09:15:00Z,1.52
2024-11-27T09:30:00Z,1.53
2024-11-27T09:45:00Z,1.53
2024-11-27T10:00:00Z,1.54
2024-11-27T10:15:00Z,1.54
2024-11-27T10:30:00Z,1.55
2024-11-27T10:45:00Z,1.56
2024-11-27T11:00:00Z,1.57
2024-11-27T11:15:00Z,1.57
2024-11-27T11:30:00Z,1.58
2024-11-27T11:45:00Z,1.58
2024-11-27T12:00:00Z,1.59
2024-11-27T12:15:00Z,1.6
2024-11-27T12:30:00Z,1.6
2024-11-27T12:45:00Z,1.6
2024-11-27T13:00:00Z,1.61
2024-11-27T13:15:00Z,1.61
2024-11-27T13:30:00Z,1.61
2024-11-27T13:45:00Z,1.62
2024-11-27T14:00:00Z,1.62
2024-11-27T14:15:00Z,1.63
2024-11-27T14:30:00Z,1.63
2024-11-27T14:45:00Z,1.63
2024-11-27T15:00:00Z,1.63
2024-11-27T15:15:00Z,1.64
2024-11-27T15:30:00Z,1.64
2024-11-27T15:45:00Z,1.64
2024-11-27T16:00:00Z,1.64
2024-11-27T16:15:00Z,1.65
2024-11-27T16:30:00Z,1.65
2024-11-27T16:45:00Z,1.65
2024-11-27T17:00:00Z,1.65
2024-11-27T17:15:00Z,1.65
2024-11-27T17:30:00Z,1.65
2024-11-27T17:45:00Z,1.66
2024-11-27T18:00:00Z,1.66
2024-11-27T18:15:00Z,1.66
2024-11-27T18:30:00Z,1.66
2024-11-27T18:45:00Z,1.66
2024-11-27T19:00:00Z,1.67
2024-11-27T19:15:00Z,1.67
2024-11-27T19:30:00Z,1.67
2024-11-27T19:45:00Z,1.67
2024-11-27T20:00:00Z,1.67
