Timestamp (UTC),Height (m)
2024-11-24T06:15:00Z,3.32
2024-11-24T06:30:00Z,3.33
2024-11-24T06:45:00Z,3.34
2024-11-24T07:00:00Z,3.35
2024-11-24T07:15:00Z,3.35
2024-11-24T07:30:00Z,3.36
2024-11-24T07:45:00Z,3.37
2024-11-24T08:00:00Z,3.38
2024-11-24T08:15:00Z,3.38
2024-11-24T08:30:00Z,3.39
2024-11-24T08:45:00Z,3.4
2024-11-24T09:00:00Z,3.4
2024-11-24T09:15:00Z,3.41
2024-11-24T09:30:00Z,3.42
2024-11-24T09:45:00Z,3.42
2024-11-24T10:00:00Z,3.43
2024-11-24T10:15:00Z,3.44
2024-11-24T10:30:00Z,3.44
2024-11-24T10:45:00Z,3.45
2024-11-24T11:00:00Z,3.46
2024-11-24T11:15:00Z,3.46
2024-11-24T11:30:00Z,3.47
2024-11-24T11:45:00Z,3.47
2024-11-24T12:00:00Z,3.48
2024-11-24T12:15:00Z,3.49
2024-11-24T12:30:00Z,3.49
2024-11-24T12:45:00Z,3.5
2024-11-24T13:00:00Z,3.5
2024-11-24T13:15:00Z,3.51
2024-11-24T13:30:00Z,3.52
2024-11-24T13:45:00Z,3.53
2024-11-24T14:00:00Z,3.54
2024-11-24T14:15:00Z,3.55
2024-11-24T14:30:00Z,3.56
2024-11-24T14:45:00Z,3.56
2024-11-24T15:00:00Z,3.57
2024-11-24T15:15:00Z,3.58
2024-11-24T15:30:00Z,3.59
2024-11-24T15:45:00Z,3.6
2024-11-24T16:00:00Z,3.61
2024-11-24T16:09:00Z,3.61
2024-11-24T16:15:00Z,3.61
2024-11-24T16:30:00Z,3.62
2024-11-24T16:45:00Z,3.63
2024-11-24T17:00:00Z,3.65
2024-11-24T17:15:00Z,3.66
2024-11-24T17:30:00Z,3.67
2024-11-24T17:45:00Z,3.68
2024-11-24T18:00:00Z,3.69
2024-11-24T18:15:00Z,3.71
2024-11-24T18:30:00Z,3.72
2024-11-24T18:45:00Z,3.73
2024-11-24T19:00:00Z,3.74
2024-11-24T19:15:00Z,3.75
2024-11-24T19:30:00Z,3.76
2024-11-24T19:45:00Z,3.77
2024-11-24T20:00:00Z,3.78
2024-11-24T20:15:00Z,3.79
2024-11-24T20:30:00Z,3.8
2024-11-24T20:44:00Z,3.81
2024-11-24T20:45:00Z,3.81
2024-11-24T21:00:00Z,3.82
2024-11-24T21:15:00Z,3.83
2024-11-24T21:30:00Z,3.84
2024-11-24T21:45:00Z,3.85
2024-11-24T22:00:00Z,3.86
2024-11-24T22:15:00Z,3.87
2024-11-24T22:30:00Z,3.88
2024-11-24T22:45:00Z,3.89
2024-11-24T23:00:00Z,3.9
2024-11-24T23:15:00Z,3.91
2024-11-24T23:30:00Z,3.92
2024-11-24T23:45:00Z,3.93
2024-11-25T00:00:00Z,3.94
2024-11-25T00:15:00Z,3.95
2024-11-25T00:30:00Z,3.96
2024-11-25T00:45:00Z,3.97
2024-11-25T01:00:00Z,3.98
2024-11-25T01:15:00Z,3.99
2024-11-25T01:30:00Z,4.0
2024-11-25T01:45:00Z,4.0
2024-11-25T02:00:00Z,4.01
2024-11-25T02:15:00Z,4.02
2024-11-25T02:30:00Z,4.03
2024-11-25T02:45:00Z,4.04
2024-11-25T03:00:00Z,4.05
2024-11-25T03:15:00Z,4.06
2024-11-25T03:30:00Z,4.07
2024-11-25T03:45:00Z,4.08
2024-11-25T04:00:00Z,4.09
2024-11-25T04:15:00Z,4.1
2024-11-25T04:30:00Z,4.11
2024-11-25T04:45:00Z,4.12
2024-11-25T05:00:00Z,4.13
2024-11-25T05:15:00Z,4.14
2024-11-25T05:30:00Z,4.14
2024-11-25T05:45:00Z,4.15
2024-11-25T06:00:00Z,4.16
2024-11-25T06:15:00Z,4.17
2024-11-25T06:30:00Z,4.18
2024-11-25T06:45:00Z,4.18
2024-11-25T07:00:00Z,4.19
2024-11-25T07:15:00Z,4.2
2024-11-25T07:30:00Z,4.2
2024-11-25T07:45:00Z,4.21
2024-11-25T08:00:00Z,4.22
2024-11-25T08:15:00Z,4.22
2024-11-25T08:30:00Z,4.23
2024-11-25T08:45:00Z,4.24
2024-11-25T09:00:00Z,4.25
2024-11-25T09:15:00Z,4.25
2024-11-25T09:30:00Z,4.26
2024-11-25T09:45:00Z,4.26
2024-11-25T09:59:00Z,4.27
2024-11-25T10:00:00Z,4.27
2024-11-25T10:15:00Z,4.28
2024-11-25T10:30:00Z,4.29
2024-11-25T10:45:00Z,4.29
2024-11-25T11:00:00Z,4.3
2024-11-25T11:15:00Z,4.31
2024-11-25T11:30:00Z,4.31
2024-11-25T11:45:00Z,4.32
2024-11-25T12:00:00Z,4.33
2024-11-25T12:15:00Z,4.33
2024-11-25T12:30:00Z,4.34
2024-11-25T12:45:00Z,4.35
2024-11-25T13:00:00Z,4.35
2024-11-25T13:15:00Z,4.36
2024-11-25T13:30:00Z,4.37
2024-11-25T13:45:00Z,4.37
2024-11-25T14:00:00Z,4.38
2024-11-25T14:15:00Z,4.38
2024-11-25T14:30:00Z,4.39
2024-11-25T14:45:00Z,4.39
2024-11-25T15:00:00Z,4.4
2024-11-25T15:15:00Z,4.4
2024-11-25T15:30:00Z,4.41
2024-11-25T15:45:00Z,4.41
2024-11-25T16:00:00Z,4.41
2024-11-25T16:15:00Z,4.42
2024-11-25T16:30:00Z,4.42
2024-11-25T16:45:00Z,4.42
2024-11-25T17:00:00Z,4.42
2024-11-25T17:15:00Z,4.42
2024-11-25T17:30:00Z,4.43
2024-11-25T17:45:00Z,4.43
2024-11-25T18:00:00Z,4.43
2024-11-25T18:15:00Z,4.43
2024-11-25T18:30:00Z,4.44
2024-11-25T18:45:00Z,4.44
2024-11-25T19:00:00Z,4.44
2024-11-25T19:15:00Z,4.44
2024-11-25T19:30:00Z,4.44
2024-11-25T19:45:00Z,4.44
2024-11-25T20:00:00Z,4.45
2024-11-25T20:15:00Z,4.45
2024-11-25T20:30:00Z,4.45
2024-11-25T20:45:00Z,4.45
2024-11-25T21:00:00Z,4.45
2024-11-25T21:15:00Z,4.45
2024-11-25T21:30:00Z,4.45
2024-11-25T21:45:00Z,4.45
